judge_model,dialect,mean_score,std_score,n
claude-haiku-4-5-20251001,aave,1.27,0.468287229478799,100
claude-haiku-4-5-20251001,indian,1.19,0.4860685407045247,100
claude-haiku-4-5-20251001,sae,1.59,0.7797305932049851,100
claude-haiku-4-5-20251001,singapore,1.07,0.2564323999762428,100
claude-opus-4-7,aave,1.75,0.7159792333764038,100
claude-opus-4-7,indian,1.72,0.766469012729639,100
claude-opus-4-7,sae,2.26,0.8717797887081348,100
claude-opus-4-7,singapore,1.7010309278350515,0.7927398224618456,97
claude-sonnet-4-6,aave,1.33,0.5328596381218924,100
claude-sonnet-4-6,indian,1.36,0.559942276967326,100
claude-sonnet-4-6,sae,2.17,0.8415353933031091,100
claude-sonnet-4-6,singapore,1.23,0.5096047190685833,100
gpt-4o,aave,1.14,0.4268749491621898,100
gpt-4o,indian,1.11,0.3450955072018601,100
gpt-4o,sae,2.01,0.9691712590109804,100
gpt-4o,singapore,1.11,0.3732196796699355,100
