dialect,judge_a,judge_b,n_pairs,spearman_r,weighted_kappa,pct_exact_agree,mean_abs_diff
aave,claude-haiku-4-5-20251001,claude-opus-4-7,100,0.4888,0.2676,0.53,0.52
aave,claude-haiku-4-5-20251001,claude-sonnet-4-6,100,0.4666,0.4587,0.77,0.24
aave,claude-haiku-4-5-20251001,gpt-4o,100,0.6037,0.5173,0.83,0.17
aave,claude-opus-4-7,claude-sonnet-4-6,100,0.4419,0.2741,0.52,0.52
aave,claude-opus-4-7,gpt-4o,100,0.4135,0.1607,0.46,0.63
aave,claude-sonnet-4-6,gpt-4o,100,0.4878,0.3784,0.76,0.25
indian,claude-haiku-4-5-20251001,claude-opus-4-7,100,0.3567,0.2222,0.56,0.57
indian,claude-haiku-4-5-20251001,claude-sonnet-4-6,100,0.6533,0.574,0.82,0.19
indian,claude-haiku-4-5-20251001,gpt-4o,100,0.598,0.5516,0.89,0.12
indian,claude-opus-4-7,claude-sonnet-4-6,100,0.556,0.4212,0.64,0.42
indian,claude-opus-4-7,gpt-4o,100,0.3099,0.153,0.54,0.61
indian,claude-sonnet-4-6,gpt-4o,100,0.5005,0.383,0.77,0.25
sae,claude-haiku-4-5-20251001,claude-opus-4-7,100,0.4517,0.2992,0.46,0.75
sae,claude-haiku-4-5-20251001,claude-sonnet-4-6,100,0.5167,0.3842,0.53,0.62
sae,claude-haiku-4-5-20251001,gpt-4o,100,0.6061,0.4756,0.62,0.52
sae,claude-opus-4-7,claude-sonnet-4-6,100,0.6757,0.599,0.68,0.37
sae,claude-opus-4-7,gpt-4o,100,0.5413,0.4526,0.6,0.55
sae,claude-sonnet-4-6,gpt-4o,100,0.6034,0.5189,0.62,0.48
singapore,claude-haiku-4-5-20251001,claude-opus-4-7,97,0.2696,0.1039,0.5464,0.6289
singapore,claude-haiku-4-5-20251001,claude-sonnet-4-6,97,0.5731,0.413,0.8557,0.1649
singapore,claude-haiku-4-5-20251001,gpt-4o,97,0.5955,0.521,0.9278,0.0825
singapore,claude-opus-4-7,claude-sonnet-4-6,97,0.3663,0.2487,0.5773,0.5464
singapore,claude-opus-4-7,gpt-4o,97,0.3791,0.1482,0.5361,0.6082
singapore,claude-sonnet-4-6,gpt-4o,97,0.499,0.4721,0.8454,0.1649
