dialect,judge_a,judge_b,n_pairs,spearman_r,weighted_kappa,pct_exact_agree,mean_abs_diff
aave,claude-haiku-4-5-20251001,claude-opus-4-7,98,0.223,0.0989,0.7143,0.2959
aave,claude-haiku-4-5-20251001,claude-sonnet-4-6,98,0.154,0.0463,0.3571,0.6429
aave,claude-haiku-4-5-20251001,gpt-4o,98,0.1174,0.0272,0.2551,0.7449
aave,claude-opus-4-7,claude-sonnet-4-6,98,0.4673,0.0577,0.2449,0.8163
aave,claude-opus-4-7,gpt-4o,98,0.2921,0.035,0.2041,0.9184
aave,claude-sonnet-4-6,gpt-4o,98,0.3229,0.3114,0.7347,0.2653
indian,claude-haiku-4-5-20251001,claude-opus-4-7,98,0.2369,0.1893,0.8163,0.1837
indian,claude-haiku-4-5-20251001,claude-sonnet-4-6,98,0.1839,0.0654,0.3571,0.6429
indian,claude-haiku-4-5-20251001,gpt-4o,98,0.1792,0.0622,0.3469,0.6531
indian,claude-opus-4-7,claude-sonnet-4-6,98,0.3205,0.0853,0.3469,0.6633
indian,claude-opus-4-7,gpt-4o,98,0.3167,0.0534,0.3061,0.6939
indian,claude-sonnet-4-6,gpt-4o,98,0.3019,0.3018,0.7245,0.2755
sae,claude-haiku-4-5-20251001,claude-opus-4-7,100,0.7373,0.4721,0.57,0.45
sae,claude-haiku-4-5-20251001,claude-sonnet-4-6,100,0.7163,0.5392,0.69,0.31
sae,claude-haiku-4-5-20251001,gpt-4o,100,0.6841,0.5266,0.68,0.32
sae,claude-opus-4-7,claude-sonnet-4-6,100,0.7789,0.2862,0.36,0.68
sae,claude-opus-4-7,gpt-4o,100,0.7072,0.2922,0.39,0.67
sae,claude-sonnet-4-6,gpt-4o,100,0.7959,0.7277,0.83,0.17
singapore,claude-haiku-4-5-20251001,claude-opus-4-7,97,0.1535,0.1993,0.7526,0.2784
singapore,claude-haiku-4-5-20251001,claude-sonnet-4-6,97,0.0663,0.037,0.4021,0.5979
singapore,claude-haiku-4-5-20251001,gpt-4o,97,0.167,0.0543,0.2887,0.7113
singapore,claude-opus-4-7,claude-sonnet-4-6,97,0.3871,0.1521,0.433,0.5876
singapore,claude-opus-4-7,gpt-4o,97,0.3415,0.0495,0.2474,0.7835
singapore,claude-sonnet-4-6,gpt-4o,97,0.3468,0.2924,0.7423,0.2577
